,額外選擇層,,,後向新增層次,,,前向新增層次,,,對照組,,
model_id,parameter_count,accuracy,score,parameter_count,accuracy,score,parameter_count,accuracy,score,parameter_count,accuracy,score
1,4714 ,79.21 ,79.21 ,4714 ,77.32 ,77.32 ,7850 ,69.68 ,69.67 ,7850 ,69.83 ,69.82 
2,4714 ,79.50 ,79.50 ,4714 ,79.84 ,79.84 ,4714 ,79.47 ,79.47 ,7850 ,70.09 ,70.08 
3,18826 ,78.98 ,78.96 ,18826 ,79.15 ,79.13 ,18826 ,78.78 ,78.76 ,7850 ,70.05 ,70.04 
4,18826 ,79.05 ,79.03 ,18826 ,77.82 ,77.80 ,18826 ,78.89 ,78.87 ,7850 ,69.55 ,69.54 
5,7850 ,69.95 ,69.94 ,18826 ,78.51 ,78.49 ,18826 ,77.14 ,77.12 ,7850 ,69.95 ,69.94 
6,4714 ,78.90 ,78.90 ,4714 ,79.99 ,79.99 ,4714 ,79.67 ,79.67 ,7850 ,69.19 ,69.18 
7,4714 ,77.99 ,77.99 ,18826 ,80.35 ,80.33 ,4714 ,78.52 ,78.52 ,7850 ,69.85 ,69.84 
8,18826 ,78.70 ,78.68 ,18826 ,78.46 ,78.44 ,4714 ,79.31 ,79.31 ,7850 ,69.95 ,69.94 
9,18826 ,78.05 ,78.03 ,18826 ,78.82 ,78.80 ,18826 ,78.83 ,78.81 ,7850 ,70.04 ,70.03 
10,18826 ,75.54 ,75.52 ,4714 ,78.75 ,78.75 ,18826 ,77.33 ,77.31 ,7850 ,69.74 ,69.73 
11,4714 ,78.84 ,78.84 ,18826 ,81.54 ,81.52 ,18826 ,79.33 ,79.31 ,7850 ,69.86 ,69.85 
12,18826 ,78.24 ,78.22 ,4714 ,77.75 ,77.75 ,18826 ,78.61 ,78.59 ,7850 ,69.61 ,69.60 
13,4714 ,78.86 ,78.86 ,4714 ,79.33 ,79.33 ,18826 ,76.11 ,76.09 ,7850 ,69.90 ,69.89 
14,7850 ,69.86 ,69.85 ,4714 ,78.14 ,78.14 ,7850 ,69.42 ,69.41 ,7850 ,69.57 ,69.56 
15,18826 ,77.46 ,77.44 ,18826 ,78.13 ,78.11 ,18826 ,78.26 ,78.24 ,7850 ,70.24 ,70.23 
16,18826 ,78.34 ,78.32 ,18826 ,79.10 ,79.08 ,18826 ,79.27 ,79.25 ,7850 ,69.62 ,69.61 
17,4714 ,78.25 ,78.25 ,4714 ,79.93 ,79.93 ,18826 ,78.16 ,78.14 ,7850 ,69.98 ,69.97 
18,18826 ,78.30 ,78.28 ,18826 ,79.48 ,79.46 ,18826 ,80.13 ,80.11 ,7850 ,69.82 ,69.81 
19,18826 ,79.71 ,79.69 ,4714 ,78.57 ,78.57 ,7850 ,70.02 ,70.01 ,7850 ,70.05 ,70.04 
20,4714 ,79.68 ,79.68 ,4714 ,79.40 ,79.40 ,18826 ,79.60 ,79.58 ,7850 ,69.89 ,69.88 
21,4714 ,80.08 ,80.08 ,18826 ,78.14 ,78.12 ,4714 ,77.43 ,77.43 ,7850 ,69.96 ,69.95 
22,7850 ,69.78 ,69.77 ,18826 ,78.02 ,78.00 ,4714 ,78.11 ,78.11 ,7850 ,69.96 ,69.95 
23,18826 ,78.63 ,78.61 ,4714 ,78.23 ,78.23 ,4714 ,79.28 ,79.28 ,7850 ,69.94 ,69.93 
24,4714 ,79.15 ,79.15 ,18826 ,81.44 ,81.42 ,4714 ,79.68 ,79.68 ,7850 ,69.85 ,69.84 
25,4714 ,80.30 ,80.30 ,7850 ,70.14 ,70.13 ,4714 ,79.35 ,79.35 ,7850 ,69.64 ,69.63 
26,18826 ,79.45 ,79.43 ,4714 ,78.30 ,78.30 ,18826 ,80.26 ,80.24 ,7850 ,69.72 ,69.71 
27,4714 ,79.86 ,79.86 ,18826 ,79.50 ,79.48 ,18826 ,78.91 ,78.89 ,7850 ,70.13 ,70.12 
28,4714 ,79.46 ,79.46 ,18826 ,78.44 ,78.42 ,18826 ,76.70 ,76.68 ,7850 ,69.82 ,69.81 
29,4714 ,78.59 ,78.59 ,18826 ,77.47 ,77.45 ,4714 ,79.32 ,79.32 ,7850 ,69.79 ,69.78 
30,18826 ,79.49 ,79.47 ,4714 ,78.95 ,78.95 ,18826 ,79.90 ,79.88 ,7850 ,69.78 ,69.77 
31,18826 ,80.24 ,80.22 ,4714 ,78.62 ,78.62 ,18826 ,79.28 ,79.26 ,7850 ,69.64 ,69.63 
32,4714 ,79.66 ,79.66 ,18826 ,78.22 ,78.20 ,4714 ,80.06 ,80.06 ,7850 ,69.79 ,69.78 
33,4714 ,78.87 ,78.87 ,4714 ,79.27 ,79.27 ,18826 ,78.23 ,78.21 ,7850 ,69.65 ,69.64 
34,4714 ,78.35 ,78.35 ,18826 ,78.90 ,78.88 ,7850 ,70.00 ,69.99 ,7850 ,70.09 ,70.08 
35,18826 ,80.07 ,80.05 ,18826 ,79.95 ,79.93 ,18826 ,77.39 ,77.37 ,7850 ,69.77 ,69.76 
36,4714 ,79.43 ,79.43 ,4714 ,78.79 ,78.79 ,18826 ,78.56 ,78.54 ,7850 ,69.99 ,69.98 
37,4714 ,79.10 ,79.10 ,18826 ,79.94 ,79.92 ,18826 ,79.35 ,79.33 ,7850 ,69.63 ,69.62 
38,18826 ,79.61 ,79.59 ,18826 ,78.25 ,78.23 ,18826 ,78.69 ,78.67 ,7850 ,70.00 ,69.99 
39,18826 ,78.86 ,78.84 ,18826 ,77.48 ,77.46 ,18826 ,79.84 ,79.82 ,7850 ,69.70 ,69.69 
40,4714 ,78.72 ,78.72 ,4714 ,79.94 ,79.94 ,18826 ,80.05 ,80.03 ,7850 ,69.96 ,69.95 
41,18826 ,79.29 ,79.27 ,4714 ,78.95 ,78.95 ,18826 ,80.35 ,80.33 ,7850 ,69.67 ,69.66 
42,4714 ,78.64 ,78.64 ,18826 ,78.18 ,78.16 ,4714 ,78.65 ,78.65 ,7850 ,70.31 ,70.30 
43,4714 ,78.24 ,78.24 ,18826 ,79.19 ,79.17 ,18826 ,77.34 ,77.32 ,7850 ,69.65 ,69.64 
44,7850 ,69.43 ,69.42 ,4714 ,76.89 ,76.89 ,4714 ,78.55 ,78.55 ,7850 ,69.90 ,69.89 
45,18826 ,78.96 ,78.94 ,18826 ,80.23 ,80.21 ,18826 ,80.04 ,80.02 ,7850 ,70.20 ,70.19 
46,4714 ,79.55 ,79.55 ,4714 ,78.84 ,78.84 ,4714 ,78.99 ,78.99 ,7850 ,69.96 ,69.95 
47,4714 ,78.84 ,78.84 ,18826 ,78.91 ,78.89 ,18826 ,78.23 ,78.21 ,7850 ,69.51 ,69.50 
48,18826 ,78.88 ,78.86 ,4714 ,78.74 ,78.74 ,18826 ,79.01 ,78.99 ,7850 ,69.98 ,69.97 
49,4714 ,79.24 ,79.24 ,18826 ,77.10 ,77.08 ,4714 ,79.32 ,79.32 ,7850 ,70.08 ,70.07 
50,18826 ,75.54 ,75.52 ,7850 ,70.09 ,70.08 ,4714 ,79.11 ,79.11 ,7850 ,69.57 ,69.56 
51,4714 ,77.60 ,77.60 ,4714 ,79.23 ,79.23 ,4714 ,80.47 ,80.47 ,7850 ,70.17 ,70.16 
52,4714 ,78.86 ,78.86 ,4714 ,79.07 ,79.07 ,18826 ,78.62 ,78.60 ,7850 ,69.93 ,69.92 
53,4714 ,79.36 ,79.36 ,4714 ,79.08 ,79.08 ,18826 ,77.90 ,77.88 ,7850 ,69.89 ,69.88 
54,18826 ,77.02 ,77.00 ,4714 ,76.01 ,76.01 ,4714 ,79.52 ,79.52 ,7850 ,69.95 ,69.94 
55,4714 ,79.82 ,79.82 ,4714 ,79.35 ,79.35 ,4714 ,80.13 ,80.13 ,7850 ,70.30 ,70.29 
56,18826 ,77.28 ,77.26 ,4714 ,78.74 ,78.74 ,18826 ,79.41 ,79.39 ,7850 ,70.03 ,70.02 
57,18826 ,78.65 ,78.63 ,18826 ,80.16 ,80.14 ,18826 ,78.26 ,78.24 ,7850 ,69.43 ,69.42 
58,4714 ,77.47 ,77.47 ,4714 ,78.34 ,78.34 ,18826 ,79.60 ,79.58 ,7850 ,69.59 ,69.58 
59,4714 ,79.06 ,79.06 ,4714 ,78.32 ,78.32 ,18826 ,77.50 ,77.48 ,7850 ,70.03 ,70.02 
60,4714 ,79.72 ,79.72 ,4714 ,80.59 ,80.59 ,4714 ,77.26 ,77.26 ,7850 ,69.56 ,69.55 
61,7850 ,69.50 ,69.49 ,7850 ,69.84 ,69.83 ,18826 ,78.98 ,78.96 ,7850 ,69.75 ,69.74 
62,18826 ,78.23 ,78.21 ,18826 ,77.35 ,77.33 ,4714 ,79.77 ,79.77 ,7850 ,69.76 ,69.75 
63,7850 ,69.60 ,69.59 ,4714 ,79.70 ,79.70 ,18826 ,79.27 ,79.25 ,7850 ,70.69 ,70.68 
64,4714 ,78.44 ,78.44 ,18826 ,78.93 ,78.91 ,18826 ,79.34 ,79.32 ,7850 ,70.30 ,70.29 
65,18826 ,78.41 ,78.39 ,4714 ,79.55 ,79.55 ,18826 ,78.53 ,78.51 ,7850 ,69.85 ,69.84 
66,18826 ,77.85 ,77.83 ,4714 ,79.30 ,79.30 ,18826 ,79.30 ,79.28 ,7850 ,70.10 ,70.09 
67,4714 ,80.29 ,80.29 ,7850 ,70.27 ,70.26 ,18826 ,79.02 ,79.00 ,7850 ,69.93 ,69.92 
68,4714 ,77.02 ,77.02 ,18826 ,79.48 ,79.46 ,4714 ,80.51 ,80.51 ,7850 ,69.85 ,69.84 
69,4714 ,78.87 ,78.87 ,4714 ,78.82 ,78.82 ,18826 ,78.88 ,78.86 ,7850 ,70.26 ,70.25 
70,18826 ,77.61 ,77.59 ,18826 ,79.78 ,79.76 ,4714 ,79.15 ,79.15 ,7850 ,70.00 ,69.99 
71,4714 ,77.75 ,77.75 ,18826 ,78.14 ,78.12 ,4714 ,78.89 ,78.89 ,7850 ,70.38 ,70.37 
72,4714 ,78.75 ,78.75 ,4714 ,78.55 ,78.55 ,18826 ,78.47 ,78.45 ,7850 ,69.70 ,69.69 
73,4714 ,78.87 ,78.87 ,4714 ,78.94 ,78.94 ,18826 ,76.89 ,76.87 ,7850 ,69.74 ,69.73 
74,4714 ,80.34 ,80.34 ,4714 ,78.30 ,78.30 ,18826 ,77.89 ,77.87 ,7850 ,69.95 ,69.94 
75,4714 ,78.34 ,78.34 ,4714 ,77.74 ,77.74 ,18826 ,76.95 ,76.93 ,7850 ,69.70 ,69.69 
76,4714 ,79.01 ,79.01 ,4714 ,78.26 ,78.26 ,18826 ,78.46 ,78.44 ,7850 ,69.68 ,69.67 
77,18826 ,78.85 ,78.83 ,18826 ,78.66 ,78.64 ,7850 ,69.83 ,69.82 ,7850 ,69.69 ,69.68 
78,4714 ,77.96 ,77.96 ,7850 ,70.18 ,70.17 ,18826 ,77.25 ,77.23 ,7850 ,70.12 ,70.11 
79,18826 ,78.32 ,78.30 ,18826 ,78.69 ,78.67 ,4714 ,78.40 ,78.40 ,7850 ,69.95 ,69.94 
80,4714 ,77.46 ,77.46 ,4714 ,78.66 ,78.66 ,4714 ,78.69 ,78.69 ,7850 ,69.91 ,69.90 
81,18826 ,78.73 ,78.71 ,18826 ,79.07 ,79.05 ,4714 ,78.42 ,78.42 ,7850 ,70.06 ,70.05 
82,7850 ,69.63 ,69.62 ,18826 ,80.39 ,80.37 ,4714 ,77.87 ,77.87 ,7850 ,69.58 ,69.57 
83,18826 ,79.50 ,79.48 ,4714 ,78.37 ,78.37 ,18826 ,80.00 ,79.98 ,7850 ,70.37 ,70.36 
84,18826 ,79.11 ,79.09 ,4714 ,79.67 ,79.67 ,4714 ,78.90 ,78.90 ,7850 ,70.43 ,70.42 
85,4714 ,80.17 ,80.17 ,4714 ,79.30 ,79.30 ,4714 ,78.82 ,78.82 ,7850 ,70.10 ,70.09 
86,4714 ,77.80 ,77.80 ,4714 ,78.41 ,78.41 ,4714 ,78.52 ,78.52 ,7850 ,69.33 ,69.32 
87,18826 ,78.70 ,78.68 ,4714 ,76.78 ,76.78 ,18826 ,79.33 ,79.31 ,7850 ,69.51 ,69.50 
88,18826 ,80.93 ,80.91 ,4714 ,79.70 ,79.70 ,7850 ,69.76 ,69.75 ,7850 ,69.93 ,69.92 
89,4714 ,79.56 ,79.56 ,18826 ,79.91 ,79.89 ,18826 ,79.97 ,79.95 ,7850 ,69.94 ,69.93 
90,18826 ,80.44 ,80.42 ,18826 ,77.64 ,77.62 ,18826 ,77.85 ,77.83 ,7850 ,70.19 ,70.18 
91,7850 ,70.20 ,70.19 ,18826 ,77.68 ,77.66 ,7850 ,69.81 ,69.80 ,7850 ,69.63 ,69.62 
92,4714 ,79.64 ,79.64 ,4714 ,79.40 ,79.40 ,18826 ,79.19 ,79.17 ,7850 ,70.12 ,70.11 
93,18826 ,77.68 ,77.66 ,4714 ,79.04 ,79.04 ,18826 ,78.66 ,78.64 ,7850 ,69.93 ,69.92 
94,4714 ,79.11 ,79.11 ,18826 ,77.88 ,77.86 ,4714 ,78.06 ,78.06 ,7850 ,70.15 ,70.14 
95,4714 ,77.55 ,77.55 ,4714 ,79.22 ,79.22 ,18826 ,79.38 ,79.36 ,7850 ,69.69 ,69.68 
96,4714 ,78.45 ,78.45 ,4714 ,79.08 ,79.08 ,18826 ,78.65 ,78.63 ,7850 ,69.67 ,69.66 
97,18826 ,77.01 ,76.99 ,18826 ,77.70 ,77.68 ,18826 ,79.00 ,78.98 ,7850 ,69.67 ,69.66 
98,18826 ,77.17 ,77.15 ,18826 ,79.91 ,79.89 ,7850 ,69.86 ,69.85 ,7850 ,70.09 ,70.08 
99,18826 ,80.15 ,80.13 ,18826 ,79.72 ,79.70 ,7850 ,70.03 ,70.02 ,7850 ,70.33 ,70.32 
100,4714 ,80.37 ,80.37 ,18826 ,78.51 ,78.49 ,4714 ,79.71 ,79.71 ,7850 ,69.97 ,69.96 
mean,10609.68 ,78.06 ,78.05 ,11221.20 ,78.41 ,78.40 ,13181.20 ,78.01 ,78.00 ,7850.00 ,69.89 ,69.89 
std,6793.28 ,2.65 ,2.65 ,6946.03 ,2.13 ,2.13 ,6719.32 ,2.74 ,2.73 ,0.00 ,0.25 ,0.25 
